Stn Number,Latitude,Longitude,Elevation,First Year,Last Year,Number of Years,Stn Name
040160,-28.0092,153.3175,25,1970,2001,32,NERANG GILSTON RD
040166,-27.8965,153.3128,6,1998,2011,14,OXENFORD (OBERON WAY)
040178,-28.2111,152.865,101,1965,2012,48,RATHDOWNEY POST OFFICE
040180,-27.2517,153.1008,10,1963,1989,27,MARGATE COLLINS ST
040189,-27.1147,152.555,113,1936,1969,34,SOMERSET DAM
040192,-28.2264,153.2786,806,1965,2003,39,SPRINGBROOK FORESTRY
040197,-27.9695,153.1954,515,1972,2011,40,MT TAMBORINE FERN ST
040211,-27.5717,153.0078,12.5,1948,1992,45,ARCHERFIELD AIRPORT
040214,-27.4778,153.0306,38,1908,1994,87,BRISBANE REGIONAL OFFICE
040222,-27.4118,153.0457,18,1971,2009,39,KALINGA BOWLS CLUB
040223,-27.4178,153.1142,4,1949,2000,52,BRISBANE AERO
040241,-27.3617,152.8861,52.7,1967,2003,37,SAMFORD CSIRO
040265,-27.5278,153.25,16,1964,2012,49,REDLANDS HRS
040270,-27.3628,152.1594,608,1965,1996,32,RAVENSBOURNE
040282,-26.6431,152.9392,32.5,1954,2008,55,NAMBOUR DPI
040308,-27.3342,152.7717,618,1968,2012,45,MT GLORIOUS FAHEY RD
040312,-27.7354,152.9443,69,1973,2011,39,NEW BEITH
040318,-27.0258,152.5642,103.6,1959,1990,32,KIRKLEAGH
040382,-27.2711,152.0642,585,1965,1981,17,CROWS NEST
040386,-26.5892,152.7322,85,1963,1981,19,KENILWORTH BRIDGE
040405,-25.322,152.8817,13,2002,2011,10,HERVEY BAY AIRPORT
040406,-27.7094,153.2014,31,1967,2003,37,BEENLEIGH BOWLS CLUB
040428,-25.655,151.745,131,1995,2011,17,BRIAN PASTURES
040451,-25.9963,152.8335,49,1973,2011,39,TOOLARA FORESTRY
040454,-27.8333,153,20,1971,1982,12,GLENLOGAN FIELD STATION
040458,-27.5314,153.1825,28,1971,2012,42,CAPALABA WATER TREAT
040459,-27.5,153.1,20,1971,1989,19,CARINA BCC DONALDSON RD
040460,-27.6081,153.2381,56,1971,2011,41,MOUNT COTTON FARM
